time (days since 2003-01-24),wavelength (nm),irradiance (W/m^2/nm)
2534.5,351.79,0.97790
2534.5,352.15,0.97166
2534.5,352.52,0.96753
2534.5,352.88,0.98103
2534.5,353.24,1.0096
2534.5,353.61,1.0364
2534.5,353.98,1.0577
2534.5,354.34,1.0753
2534.5,354.71,1.0842
2534.5,355.08,1.0720
2534.5,355.46,1.0427
2534.5,355.83,1.0105
2534.5,356.20,0.97537
2534.5,356.58,0.92669
2534.5,356.96,0.87364
2534.5,357.34,0.83835
2534.5,357.72,0.81979
2534.5,358.10,0.81546
2534.5,358.48,0.82662
2534.5,358.86,0.85874
2534.5,359.25,0.89941
2534.5,359.64,0.93561
2534.5,360.03,0.95669
2534.5,360.42,0.96078
2534.5,360.81,0.96234
2534.5,361.20,0.96085
2534.5,361.59,0.95482
2534.5,361.99,0.95623
2534.5,362.39,0.97171
2534.5,362.79,0.99119
2534.5,363.19,1.0016
2534.5,363.59,1.0140
2534.5,363.99,1.0355
2534.5,364.39,1.0616
2534.5,364.80,1.0831
2534.5,365.21,1.1125
2534.5,365.62,1.1545
2534.5,366.03,1.1809
2534.5,366.44,1.1935
2534.5,366.85,1.1960
2534.5,367.27,1.1981
2534.5,367.69,1.1909
2534.5,368.10,1.1858
2534.5,368.52,1.1831
2534.5,368.95,1.1819
2534.5,369.37,1.1924
2534.5,369.79,1.2022
2534.5,370.22,1.1945
2534.5,370.65,1.1822
2534.5,371.08,1.1712
2534.5,371.51,1.1484
2534.5,371.94,1.1116
2534.5,372.38,1.0730
2534.5,372.81,1.0357
2534.5,373.25,1.0043
2534.5,373.69,0.97839
2534.5,374.13,0.96840
2534.5,374.58,0.97443
2534.5,375.02,0.98958
2534.5,375.47,1.0260
2534.5,375.92,1.0731
2534.5,376.37,1.1230
2534.5,376.82,1.1663
2534.5,377.28,1.2092
2534.5,377.73,1.2331
2534.5,378.19,1.2419
2534.5,378.65,1.2393
2534.5,379.11,1.2249
2534.5,379.57,1.2017
2534.5,380.04,1.1741
2534.5,380.51,1.1405
2534.5,380.98,1.0941
2534.5,381.45,1.0337
2534.5,381.92,0.96900
2534.5,382.39,0.91658
2534.5,382.87,0.87609
2534.5,383.35,0.85580
2534.5,383.83,0.85670
2534.5,384.31,0.88714
2534.5,384.80,0.92654
2534.5,385.28,0.95791
2534.5,385.77,0.97935
2534.5,386.26,0.99449
2534.5,386.76,1.0033
2534.5,387.25,1.0099
2534.5,387.75,1.0223
2534.5,388.25,1.0432
2534.5,388.75,1.0785
2534.5,389.25,1.1236
2534.5,389.76,1.1680
2534.5,390.26,1.1974
2534.5,390.77,1.1945
2534.5,391.29,1.1628
2534.5,391.80,1.1112
2534.5,392.32,1.0451
2534.5,392.84,0.98816
2534.5,393.36,0.95703
2534.5,393.88,0.95494
2534.5,394.40,0.96746
2534.5,394.93,0.98740
2534.5,395.46,1.0152
2534.5,395.99,1.0426
2534.5,396.53,1.0718
2534.5,397.07,1.1163
2534.5,397.61,1.1957
2534.5,398.15,1.2936
2534.5,398.69,1.3980
2534.5,399.24,1.5017
2534.5,399.79,1.5962
2534.5,400.34,1.6645
2534.5,400.89,1.7010
2534.5,401.45,1.7262
2534.5,402.01,1.7347
2534.5,402.57,1.7362
2534.5,403.13,1.7290
2534.5,403.70,1.7157
2534.5,404.27,1.7013
2534.5,404.84,1.6835
2534.5,405.41,1.6699
2534.5,405.99,1.6642
2534.5,406.57,1.6691
2534.5,407.15,1.6721
2534.5,407.74,1.6760
2534.5,408.33,1.6860
2534.5,408.92,1.6989
2534.5,409.51,1.7079
2534.5,410.11,1.7123
2534.5,410.70,1.7231
2534.5,411.31,1.7452
2534.5,411.91,1.7583
2534.5,412.52,1.7663
2534.5,413.13,1.7755
2534.5,413.74,1.7861
2534.5,414.36,1.7865
2534.5,414.98,1.7801
2534.5,415.60,1.7743
2534.5,416.22,1.7699
2534.5,416.85,1.7616
2534.5,417.48,1.7483
2534.5,418.11,1.7432
2534.5,418.75,1.7427
2534.5,419.39,1.7407
2534.5,420.04,1.7380
2534.5,420.68,1.7397
2534.5,421.33,1.7439
2534.5,421.98,1.7371
2534.5,422.64,1.7269
2534.5,423.30,1.7202
2534.5,423.96,1.7145
2534.5,424.63,1.7033
2534.5,425.30,1.6915
2534.5,425.97,1.6796
2534.5,426.65,1.6596
2534.5,427.32,1.6214
2534.5,428.01,1.5774
2534.5,428.69,1.5470
2534.5,429.38,1.5186
2534.5,430.08,1.5063
2534.5,430.77,1.5090
2534.5,431.47,1.5443
2534.5,432.18,1.5889
2534.5,432.89,1.6356
2534.5,433.60,1.6822
2534.5,434.31,1.7237
2534.5,435.03,1.7527
2534.5,435.75,1.7672
2534.5,436.48,1.7768
2534.5,437.21,1.7761
2534.5,437.94,1.7749
2534.5,438.68,1.7816
2534.5,439.42,1.7950
2534.5,440.17,1.8144
2534.5,440.92,1.8403
2534.5,441.67,1.8722
2534.5,442.43,1.8972
2534.5,443.19,1.9157
2534.5,443.96,1.9290
2534.5,444.73,1.9407
2534.5,445.50,1.9474
2534.5,446.28,1.9579
2534.5,447.06,1.9815
2534.5,447.85,2.0075
2534.5,448.64,2.0287
2534.5,449.43,2.0436
2534.5,450.23,2.0581
2534.5,451.04,2.0615
2534.5,451.85,2.0534
2534.5,452.66,2.0434
2534.5,453.48,2.0382
2534.5,454.30,2.0385
2534.5,455.13,2.0392
2534.5,455.96,2.0433
2534.5,456.80,2.0520
2534.5,457.64,2.0598
2534.5,458.48,2.0653
2534.5,459.33,2.0703
2534.5,460.19,2.0752
2534.5,461.05,2.0778
2534.5,461.92,2.0795
2534.5,462.79,2.0750
2534.5,463.66,2.0672
2534.5,464.54,2.0569
2534.5,465.43,2.0467
2534.5,466.32,2.0340
2534.5,467.22,2.0247
2534.5,468.12,2.0230
2534.5,469.03,2.0233
2534.5,469.94,2.0266
2534.5,470.86,2.0335
2534.5,471.78,2.0437
2534.5,472.71,2.0528
2534.5,473.64,2.0618
2534.5,474.58,2.0709
2534.5,475.53,2.0795
2534.5,476.48,2.0857
2534.5,477.44,2.0926
2534.5,478.40,2.0984
2534.5,479.37,2.1000
2534.5,480.34,2.0963
2534.5,481.33,2.0777
2534.5,482.31,2.0505
2534.5,483.31,2.0170
2534.5,484.30,1.9828
2534.5,485.31,1.9522
2534.5,486.32,1.9311
2534.5,487.34,1.9246
2534.5,488.37,1.9313
2534.5,489.40,1.9439
2534.5,490.43,1.9594
2534.5,491.48,1.9740
2534.5,492.53,1.9864
2534.5,493.59,1.9923
2534.5,494.65,1.9946
2534.5,495.72,1.9909
2534.5,496.80,1.9821
2534.5,497.89,1.9727
2534.5,498.98,1.9600
2534.5,500.08,1.9500
2534.5,501.19,1.9428
2534.5,502.30,1.9416
2534.5,503.42,1.9450
2534.5,504.55,1.9503
2534.5,505.69,1.9570
2534.5,506.83,1.9606
2534.5,507.99,1.9594
2534.5,509.14,1.9541
2534.5,510.31,1.9450
2534.5,511.49,1.9248
2534.5,512.67,1.8988
2534.5,513.86,1.8731
2534.5,515.06,1.8504
2534.5,516.27,1.8309
2534.5,517.49,1.8193
2534.5,518.71,1.8244
2534.5,519.94,1.8373
2534.5,521.18,1.8488
2534.5,522.43,1.8618
2534.5,523.69,1.8768
2534.5,524.96,1.8897
2534.5,526.24,1.8940
2534.5,527.52,1.8987
2534.5,528.82,1.9093
2534.5,530.12,1.9173
2534.5,531.44,1.9207
2534.5,532.76,1.9216
2534.5,534.09,1.9206
2534.5,535.43,1.9158
2534.5,536.79,1.9073
2534.5,538.15,1.8991
2534.5,539.52,1.8933
2534.5,540.90,1.8890
2534.5,542.29,1.8876
2534.5,543.69,1.8878
2534.5,545.11,1.8890
2534.5,546.53,1.8893
2534.5,547.96,1.8905
2534.5,549.41,1.8900
2534.5,550.86,1.8862
2534.5,552.33,1.8797
2534.5,553.80,1.8733
2534.5,555.29,1.8661
2534.5,556.79,1.8581
2534.5,558.30,1.8501
2534.5,559.82,1.8457
2534.5,561.36,1.8434
2534.5,562.90,1.8409
2534.5,564.46,1.8402
2534.5,566.03,1.8415
2534.5,567.61,1.8429
2534.5,569.21,1.8435
2534.5,570.81,1.8440
2534.5,572.43,1.8450
2534.5,574.06,1.8458
2534.5,575.71,1.8450
2534.5,577.37,1.8426
2534.5,579.04,1.8397
2534.5,580.72,1.8330
2534.5,582.42,1.8239
2534.5,584.13,1.8145
2534.5,585.86,1.8048
2534.5,587.59,1.7955
2534.5,589.35,1.7880
2534.5,591.11,1.7837
2534.5,592.90,1.7802
2534.5,594.69,1.7771
2534.5,596.50,1.7739
2534.5,598.33,1.7702
2534.5,600.17,1.7643
2534.5,602.03,1.7568
2534.5,603.90,1.7485
2534.5,605.78,1.7387
2534.5,607.69,1.7264
2534.5,609.60,1.7147
2534.5,611.54,1.7036
2534.5,613.49,1.6928
2534.5,615.46,1.6825
2534.5,617.44,1.6756
2534.5,619.44,1.6709
2534.5,621.46,1.6652
2534.5,623.49,1.6591
2534.5,625.54,1.6537
2534.5,627.61,1.6488
2534.5,629.70,1.6418
2534.5,631.81,1.6341
2534.5,633.93,1.6273
2534.5,636.07,1.6205
2534.5,638.23,1.6122
2534.5,640.41,1.6038
2534.5,642.61,1.5956
2534.5,644.82,1.5829
2534.5,647.06,1.5692
2534.5,649.31,1.5565
2534.5,651.59,1.5445
2534.5,653.88,1.5334
2534.5,656.20,1.5253
2534.5,658.53,1.5230
2534.5,660.89,1.5229
2534.5,663.27,1.5220
2534.5,665.66,1.5204
2534.5,668.08,1.5183
2534.5,670.52,1.5135
2534.5,672.99,1.5052
2534.5,675.47,1.4968
2534.5,677.98,1.4882
2534.5,680.50,1.4793
2534.5,683.06,1.4701
2534.5,685.63,1.4607
2534.5,688.23,1.4509
2534.5,690.85,1.4408
2534.5,693.49,1.4307
2534.5,696.16,1.4207
2534.5,698.85,1.4110
2534.5,701.56,1.4014
2534.5,704.30,1.3918
2534.5,707.07,1.3819
2534.5,709.85,1.3718
2534.5,712.67,1.3616
2534.5,715.51,1.3510
2534.5,718.37,1.3409
2534.5,721.26,1.3314
2534.5,724.18,1.3221
2534.5,727.12,1.3126
2534.5,730.09,1.3035
2534.5,733.08,1.2948
2534.5,736.10,1.2859
2534.5,739.15,1.2771
2534.5,742.22,1.2691
2534.5,745.33,1.2618
2534.5,748.46,1.2541
2534.5,751.61,1.2461
2534.5,754.80,1.2381
2534.5,758.01,1.2295
2534.5,761.26,1.2204
2534.5,764.53,1.2113
2534.5,767.83,1.2025
2534.5,771.15,1.1944
2534.5,774.51,1.1861
2534.5,777.90,1.1774
2534.5,781.31,1.1689
2534.5,784.76,1.1600
2534.5,788.23,1.1503
2534.5,791.73,1.1402
2534.5,795.27,1.1306
2534.5,798.83,1.1214
2534.5,802.42,1.1115
2534.5,806.05,1.1021
2534.5,809.70,1.0931
2534.5,813.39,1.0839
2534.5,817.10,1.0741
2534.5,820.85,1.0650
2534.5,824.62,1.0565
2534.5,828.43,1.0473
2534.5,832.26,1.0365
2534.5,836.13,1.0249
2534.5,840.03,1.0139
2534.5,843.96,1.0015
2534.5,847.92,0.98837
2534.5,851.91,0.97700
2534.5,855.93,0.96786
2534.5,859.99,0.96029
2534.5,864.07,0.95292
2534.5,868.18,0.94742
2534.5,872.33,0.94349
2534.5,876.50,0.93863
2534.5,880.71,0.93264
2534.5,884.94,0.92672
2534.5,889.21,0.92033
2534.5,893.50,0.91282
2534.5,897.83,0.90472
2534.5,902.19,0.89605
2534.5,906.57,0.88772
2534.5,910.99,0.87961
2534.5,915.43,0.87143
2534.5,919.91,0.86285
2534.5,924.41,0.85472
2534.5,928.94,0.84684
2534.5,933.50,0.83829
2534.5,938.09,0.82988
2534.5,942.70,0.82192
2534.5,947.35,0.81504
2534.5,952.74,0.79966
2534.5,957.41,0.79429
2534.5,962.11,0.78984
2534.5,966.83,0.78549
2534.5,971.58,0.78055
2534.5,976.35,0.77478
2534.5,981.15,0.76799
2534.5,985.98,0.76097
2534.5,990.82,0.75357
2534.5,995.70,0.74586
2534.5,1000.59,0.73849
2534.5,1005.51,0.73161
2534.5,1010.45,0.72522
2534.5,1015.42,0.71853
2534.5,1020.41,0.71192
2534.5,1025.41,0.70554
2534.5,1030.44,0.69891
2534.5,1035.49,0.69185
2534.5,1040.57,0.68459
2534.5,1045.66,0.67730
2534.5,1050.77,0.66970
2534.5,1055.90,0.66139
2534.5,1061.04,0.65297
2534.5,1066.21,0.64435
2534.5,1071.39,0.63591
2534.5,1076.59,0.62807
2534.5,1081.81,0.62093
2534.5,1087.04,0.61469
2534.5,1092.29,0.60909
2534.5,1097.55,0.60384
2534.5,1102.83,0.59893
2534.5,1108.13,0.59374
2534.5,1113.43,0.58827
2534.5,1118.75,0.58266
2534.5,1124.09,0.57695
2534.5,1129.43,0.57104
2534.5,1134.79,0.56507
2534.5,1140.16,0.55929
2534.5,1145.53,0.55355
2534.5,1150.92,0.54750
2534.5,1156.32,0.54137
2534.5,1161.73,0.53537
2534.5,1167.15,0.52935
2534.5,1172.57,0.52322
2534.5,1178.01,0.51730
2534.5,1183.45,0.51178
2534.5,1188.90,0.50667
2534.5,1194.35,0.50177
2534.5,1199.82,0.49719
2534.5,1205.28,0.49318
2534.5,1210.76,0.48916
2534.5,1216.23,0.48518
2534.5,1221.72,0.48110
2534.5,1227.20,0.47689
2534.5,1232.69,0.47242
2534.5,1238.19,0.46788
2534.5,1243.68,0.46321
2534.5,1249.18,0.45829
2534.5,1254.68,0.45309
2534.5,1260.19,0.44817
2534.5,1265.69,0.44336
2534.5,1271.20,0.43876
2534.5,1276.70,0.43452
2534.5,1282.21,0.43064
2534.5,1287.72,0.42732
2534.5,1293.22,0.42390
2534.5,1298.73,0.42045
2534.5,1304.24,0.41698
2534.5,1309.74,0.41349
2534.5,1315.24,0.40991
2534.5,1320.74,0.40639
2534.5,1326.24,0.40286
2534.5,1331.74,0.39937
2534.5,1337.23,0.39585
2534.5,1342.72,0.39220
2534.5,1348.21,0.38852
2534.5,1353.69,0.38482
2534.5,1359.17,0.38116
2534.5,1364.64,0.37766
2534.5,1370.12,0.37421
2534.5,1375.58,0.37092
2534.5,1381.04,0.36757
2534.5,1386.50,0.36420
2534.5,1391.95,0.36076
2534.5,1397.40,0.35718
2534.5,1402.84,0.35362
2534.5,1408.28,0.35009
2534.5,1413.71,0.34655
2534.5,1419.13,0.34313
2534.5,1424.55,0.33984
2534.5,1429.96,0.33675
2534.5,1435.36,0.33378
2534.5,1440.76,0.33095
2534.5,1446.15,0.32837
2534.5,1451.54,0.32576
2534.5,1456.91,0.32303
2534.5,1462.28,0.32033
2534.5,1467.64,0.31748
2534.5,1473.00,0.31431
2534.5,1478.34,0.31118
2534.5,1483.68,0.30830
2534.5,1489.01,0.30565
2534.5,1494.33,0.30328
2534.5,1499.65,0.30114
2534.5,1504.95,0.29948
2534.5,1510.25,0.29801
2534.5,1515.54,0.29629
2534.5,1520.82,0.29445
2534.5,1526.09,0.29240
2534.5,1531.36,0.28994
2534.5,1536.61,0.28721
2534.5,1541.86,0.28414
2534.5,1547.09,0.28069
2534.5,1552.32,0.27706
2534.5,1557.54,0.27333
2534.5,1562.75,0.26960
2534.5,1567.95,0.26624
2534.5,1573.14,0.26335
2534.5,1578.32,0.26096
2534.5,1583.49,0.25886
2534.5,1588.65,0.25692
2534.5,1593.80,0.25535
2534.5,1598.95,0.25385
2534.5,1601.18,0.25364
2534.5,1616.86,0.24803
2534.5,1632.42,0.24181
2534.5,1647.91,0.23551
2534.5,1663.31,0.22954
2534.5,1678.61,0.22349
2534.5,1693.82,0.21736
2534.5,1708.93,0.21013
2534.5,1723.95,0.20224
2534.5,1738.86,0.19661
2534.5,1753.69,0.19185
2534.5,1768.43,0.18627
2534.5,1783.07,0.18029
2534.5,1797.62,0.17389
2534.5,1812.08,0.16976
2534.5,1826.44,0.16574
2534.5,1840.72,0.16166
2534.5,1854.90,0.15608
2534.5,1869.00,0.15097
2534.5,1883.00,0.14894
2534.5,1896.92,0.14665
2534.5,1910.75,0.14298
2534.5,1924.48,0.13793
2534.5,1938.13,0.13347
2534.5,1951.71,0.13153
2534.5,1965.19,0.12895
2534.5,1978.59,0.12587
2534.5,1991.92,0.12341
2534.5,2005.15,0.12120
2534.5,2018.31,0.11837
2534.5,2031.38,0.11580
2534.5,2044.38,0.11305
2534.5,2057.30,0.11035
2534.5,2070.13,0.10799
2534.5,2082.89,0.10533
2534.5,2095.58,0.10294
2534.5,2108.19,0.10031
2534.5,2120.73,0.098691
2534.5,2133.20,0.097060
2534.5,2145.59,0.094167
